小区名称,户型,面积,区域,楼层,朝向,价格（W）,单价（平方米）,建筑时间
东源名都,2室2厅,103.87,浦东,低区/18层,朝南,540,51988,2009年建
品华苑,2室1厅,76.06,浦东,中区/6层,朝南,420,55219,1999年建
万邦都市花园,3室2厅,112.84,浦东,低区/18层,朝南,936,82949,
杉林新月（环林东路799弄）,2室1厅,77.58,浦东,低区/16层,朝,410,52848,2004年建
东旺名苑,4室3厅,76.8,浦东,高区/6层,朝南,650,84635,2010年建
东方知音苑,2室2厅,87.62,浦东,中区/11层,朝南北,700,79890,2003年建
金藤苑,2室1厅,63.5,浦东,低区/6层,朝南北,340,53543,1998年建
大唐盛世花园,3室2厅,139.88,浦东,低区/11层,朝南北,1250,89362,2008年建
明丰花园,3室2厅,126.29,浦东,低区/11层,朝南北,720,57011,2003年建
东南新村（浦东）,1室1厅,34.91,浦东,高区/5层,朝南,298,85362,
名嘉新苑,3室2厅,125.57,浦东,中区/18层,朝南北,775,61718,2007年建
东方知音苑,4室2厅,137.53,浦东,中区/5层,朝南北,1120,81436,2002年建
大华锦绣华城（十二街区）,3室2厅,102.07,浦东,高区/6层,朝南,820,80337,2003年建
东城新村,3室1厅,78.48,浦东,高区/7层,朝南,600,76452,2000年建
浦东南路4800弄,1室1厅,43.25,浦东,低区/7层,朝南,280,64739,1987年建
上南十村,3室1厅,74.72,浦东,低区/6层,朝南北,460,61563,1992年建
汇豪天下,2室2厅,88.93,浦东,低区/35层,朝南,980,110199,
万科金色雅筑,3室2厅,89.7,浦东,中区/11层,朝南北,650,72463,2008年建
巨峰家苑（公寓）,2室2厅,99.08,浦东,低区/7层,朝南北,620,62575,2005年建
长岛公寓,3室1厅,99.81,浦东,中区/24层,朝东南,440,44083,2000年建
中环滨江大厦,2室2厅,89.31,浦东,高区/14层,朝南,560,62702,2008年建
晓园,2室2厅,150.6,浦东,低区/9层,朝西南,1310,86985,
金桥新村四街坊（长岛路1201弄）,3室1厅,85.01,浦东,高区/6层,朝南,510,59992,1997年建
展想悦廷,1室1厅,52.98,浦东,中区/16层,朝西,170,32087,2007年建
八方大厦,2室1厅,113.01,浦东,中区/26层,朝南,650,57517,1998年建
金宝公寓,2室2厅,91,浦东,低区/5层,朝南北,350,38461,2004年建
新领地,1室1厅,62.03,浦东,中区/29层,,315,50781,2002年建
南杨花园,2室1厅,60.3,浦东,高区/6层,朝南,385,63847,1996年建
东陆新村八街坊,1室1厅,54.18,浦东,高区/6层,朝南,297,54817,1996年建
百富达公寓,4室2厅,149.25,浦东,中区/6层,朝南北,799,53534,1997年建
张杨路370弄,1室0厅,30.48,浦东,高区/6层,朝南,265,86942,1985年建
临沂八村,2室1厅,55.59,浦东,中区/6层,朝西南,325,58463,1989年建
三林安居苑,2室1厅,64.02,浦东,中区/6层,朝南北,359,56076,1998年建
金谊河畔,2室2厅,107.18,浦东,低区/16层,朝南北,710,66243,2009年建
绿洲康城亲水湾,1室2厅,67.91,浦东,低区/14层,朝南,360,53011,2010年建
华高二村,3室1厅,86.01,浦东,中区/6层,朝南,430,49994,1998年建
荷三小区,2室1厅,67.39,浦东,高区/6层,朝南,328,48671,1995年建
三林世博家园（大道站路94弄）,1室1厅,56.71,浦东,高区/6层,朝南北,325,57309,2006年建
民康苑,3室2厅,106.52,浦东,高区/17层,朝南北,580,54449,2008年建
牡丹路186弄,3室1厅,91.32,浦东,低区/6层,朝南北,650,71178,1995年建
凌兆新村（上浦路201弄）,2室2厅,49.04,浦东,低区/6层,朝,295,60154,
昌七小区,2室1厅,61,浦东,高区/6层,朝南,345,56557,1996年建
港机新村,1室0厅,35.78,浦东,高区/6层,朝,210,58692,1987年建
昌里花园,2室2厅,86,浦东,高区/13层,朝南,585,68023,1998年建
南杨小区（长清路）,2室1厅,68.47,浦东,低区/6层,,370,54038,1995年建
荷三小区,2室1厅,55.72,浦东,低区/6层,朝南,298,53481,1997年建
张江汤臣豪园（二期）,3室2厅,134.65,浦东,中区/16层,朝南北,1030,76494,
华高一村,2室1厅,81.06,浦东,高区/6层,朝南,360,44411,1997年建
云台二小区,2室1厅,72.55,浦东,低区/24层,朝东南,429,59131,1995年建
金桥湾清水苑,3室2厅,116.51,浦东,中区/6层,朝南北,630,54072,1998年建
碧云新天地（一期）,2室2厅,80.01,浦东,高区/6层,朝南北,570,71241,2002年建
爱法新城,2室2厅,94.61,浦东,高区/6层,朝南北,570,60247,2002年建
中芯花园（公寓）,2室2厅,89.68,浦东,中区/6层,,560,62444,2005年建
潍坊一村,2室0厅,47.68,浦东,高区/6层,,318,66694,1985年建
由由一村,1室1厅,41.37,浦东,低区/5层,朝南,250,60430,1997年建
金桥新村四街坊（博兴路986弄）,2室1厅,57.79,浦东,中区/6层,朝南,340,58833,1997年建
金杨新村五街坊,3室2厅,74.34,浦东,高区/6层,朝南,395,53134,1994年建
联洋花园（二期）,3室2厅,169.62,浦东,低区/18层,朝南,1250,73694,
连城新苑,2室2厅,95.85,浦东,中区/11层,朝南北,540,56338,2006年建
建业新村,2室1厅,73.99,浦东,中区/6层,朝南,450,60819,1997年建
大唐盛世花园,3室2厅,143.54,浦东,中区/17层,朝南北,1400,97533,2003年建
金浦小区（塘桥）,1室1厅,41.03,浦东,高区/6层,朝南,278,67755,1994年建
瑞达苑,3室2厅,105,浦东,中区/5层,朝南北,795,75714,1999年建
上南翡翠苑,3室2厅,106.32,浦东,低区/6层,朝南北,750,70541,2006年建
上南二村,2室1厅,69.36,浦东,高区/6层,朝南,430,61995,1981年建
博一小区,1室1厅,48.78,浦东,高区/6层,朝南,245,50225,1995年建
塘南小区,3室1厅,46.76,浦东,高区/5层,朝南,330,70573,1978年建
荷五小区,2室1厅,68.66,浦东,高区/6层,朝南,360,52432,1995年建
莲杨苑,2室1厅,84.3,浦东,低区/6层,朝南北,540,64056,2005年建
潼港六村,3室1厅,73.85,浦东,高区/6层,朝南北,310,41976,1993年建
明纶园,2室2厅,83.46,浦东,低区/6层,朝南北,370,44332,2003年建
周康四村,1室1厅,56.01,浦东,中区/5层,朝南北,280,49991,2001年建
潍坊二村,1室1厅,45.43,浦东,低区/6层,朝南,325,71538,1982年建
星云小区,2室1厅,78.88,浦东,高区/6层,朝南,560,70993,1995年建
云锦丽苑,2室2厅,84.45,浦东,低区/6层,朝南,155,18354,2006年建
绿地东上海,2室2厅,114.47,浦东,低区/18层,朝南北,680,59404,2010年建
海尚乐苑,2室2厅,78.34,浦东,低区/14层,朝南,330,42124,2010年建
联丰苑,3室1厅,115.75,浦东,低区/6层,朝南北,650,56155,1999年建
京浦小区,2室1厅,52.59,浦东,中区/6层,朝南北,335,63700,1995年建
绿地御桥苑,2室1厅,67.47,浦东,高区/6层,,410,60767,2003年建
天安花园,3室2厅,137.38,浦东,低区/20层,朝南,1180,85893,
博一小区,2室2厅,80.44,浦东,中区/6层,朝南北,430,53455,1995年建
大华锦绣华城（一街区）,3室2厅,102.17,浦东,高区/18层,朝南北,775,75853,2008年建
东一小区,1室1厅,46.85,浦东,中区/6层,朝南,260,55496,1997年建
万邦都市花园,1室1厅,52.31,浦东,低区/11层,朝南,500,95584,
世茂滨江花园,4室2厅,277.97,浦东,中区/60层,,2400,86340,
德州大楼,2室1厅,81.19,浦东,高区/25层,,460,56657,1991年建
学北路20弄,3室2厅,107.86,浦东,低区/6层,朝南北,370,34303,1997年建
上南五村,2室1厅,51.8,浦东,高区/6层,朝南北,310,59845,1993年建
金旋小区,2室1厅,74.45,浦东,高区/6层,朝南,440,59100,1995年建
凌霄苑,3室1厅,76.82,浦东,低区/6层,朝南,430,55975,1999年建
临沂五村,2室1厅,55.45,浦东,低区/6层,朝南北,360,64923,1990年建
沪东花苑,2室1厅,69.61,浦东,高区/6层,朝南,345,49561,1995年建
