S#,Title,Location,Date,Summary,Fatalities,Injured,Total victims,Mental Health Issues,Race,Gender,Latitude,Longitude
16,Chicago Rap video Shootout,,4/19/2016,Group of young men were in a park at 2 in the morning when a male walked up and shot them. One fatality. Four injuries. Shooter is unknown.,1,4,5,Unknown,Unknown,Unknown,41.878114,-87.629798
17,Texas family murder-suicide,,4/19/2016,Man killed his wife and two young children before committing suicide. No explanation has been offered,4,0,4,Unknown,White American or European American,Male,29.785785,-95.824396
18,Alabama highway random shooting,,4/19/2016,"Shooter fired from his car at two different locations along a highway in rural Alabama. He didn't injure any at the first shootout, but injured four at the second. He was killed by police.",1,4,4,Yes,White American or European American,Male,34.16204,-86.475543
19,Long Beach Street murder,,4/18/2016,"Group of men were standing at a street corner when someone came up and fired upon them. One man died, 3 injured. Nothing is known about the shooter.",0,3,4,Unknown,Unknown,Unknown,33.77005,-118.193739
20,"Albuquerque, NM House party shooting",,4/9/2016,A Man shot four uninvited party guests who would not leave the party hosted by the shooter. He started firing when they broke windows and started kicking in the door.,0,4,4,Unknown,White American or European American,Male,35.085334,-106.605553
21,"Memphis, TN gas station shooting",,4/9/2016,Four people were shot below the waist at a gas station after an altercation broke out at a gas station.,0,4,4,Unknown,Unknown,Unknown,35.149534,-90.04898
22,Chicago Birthday Party Bus Shooting,,4/7/2016,Birthday party bus was dropping off party goers in South Shore Chicago when someone on the street started shooting at them. The bus driver drove off quickly protecting the targets. Unknown motivation. No suspects. ,0,5,5,Unknown,Unknown,Unknown,41.878114,-87.629798
23,"Albuquerque, NM Family restaurant shooting",,4/1/2016,The shooter killed two of his nephews at the restaurant they owned. He shot and injured his brother. Then killed himself.,3,1,3,Unknown,Asian American,Male,35.085334,-106.605553
24,"Richmond, Virginia","Richmond, Virginia",3/31/2016,"A man fatally shot a Virginia state trooper at a Greyhound bus station before the gunman was killed by other troopers. The trooper had been participating with about a dozen other troopers in a training exercise at the bus station when a brief encounter with the gunman quickly turned violent. The shooter had been sitting in the restaurant at the bus station and went to his luggage near the front entrance. He began to walk away from his bags. The trooper approached the suspect. Shortly after the two talked for a few seconds, with the suspect to the trooper’s immediate right, the shooter pulled a gun from his waistband and shot the trooper from just inches away.",2,2,3,Unknown,Black American or African American,Male,37.540725,-77.436048
25,"Louisburg, North Carolina","Louisburg, North Carolina",3/26/2016,"Three people were killed in a shooting at a home. The shooter was on probation after being released from prison about two weeks ago. He was required to wear an ankle bracelet that monitored his whereabouts, but removed the device on Friday — the day before the shootings.",3,0,3,Unknown,Black American or African American,Male,36.099039,-78.301106
26,"Lawrenceburg, Tennessee","Lawrenceburg, Tennessee",3/25/2016,The man was suspected of shooting his wife and two sons on Friday morning at the family’s home. All three victims were initially shot inside the residence with a shotgun.,2,2,3,Unknown,Unknown,Male,35.242302,-87.334739
27,"Greenhill, AL Family murder-suicide",,3/25/2016,"Husband murders his wife and injures his two sons at their home in rural Alabama, then commits suicide",2,2,3,Yes,White American or European American,Male,34.759257,-86.602493
28,"Sherman, Texas Family Murder-Suicide","Sherman, Texas ",3/21/2016,"A man shot and killed his wife and two boys, then he turned the gun on himself.",4,0,3,Unknown,Unknown,Male,33.635662,-96.60888
29,"Louisville, KY Family Murder-Suicide","Louisville, Kentucky",3/20/2016,A former soldier who fatally shot his wife and two children and set their house on fire before killing himself suffered from post-traumatic stress disorder following a military career that included a stint in Iraq.,4,0,3,Yes,White American or European American,Male,38.252665,-85.758456
30,"Plantation, Florida","Plantation, Florida",3/19/2016,A Spring Break party in a house packed with 400 people ended in gunfire that killed one man and wounded four others.,1,4,5,Unknown,Unknown,Unknown,26.127586,-80.233104
31,Wetumpka Drive-by,"Wetumpka, Alabama",3/19/2016,"Shooter fired 12 rounds from a semi-automatic handgun that left two dead and two critically injured in a Saturday afternoon drive-by in Wetumpka, Alabama.",2,2,4,Unknown,Black American or African American,Male,32.543745,-86.211913
32,Atlanta Nightclub shooting,,3/15/2016,Two groups of people were asked to leave a nightclub when they started arguing. They were outside the club when they started shooting. Five people were injured. ,0,4,4,Unknown,Unknown,Unknown,33.748995,-84.387982
33,Florida Family celebration ends in shooting,,3/13/2016,"Family was celebrating a birthday party when a group of 12 arrived. Fight broke out, four people shot.",0,4,4,Unknown,Unknown,Unknown,26.640628,-81.872308
34,"Elberton, Georgia murder-suicide",,3/12/2016,"Domestic dispute led a man to shoot his girlfriend, kill her daughter, and injure a bystander who was trying to help the girlfriend",2,2,3,Unknown,Unknown,Male,34.111223,-82.867084
35,"Trenton, NJ sidewalk shooting",,3/11/2016,"A group of women were arguing on a sidewalk outside of an apartment complex in Trenton, NJ when a black Acura pulled up. Two men got out. And one shot at the women, injuring five. ",0,5,5,Unknown,Unknown,Unknown,40.217053,-74.742938
36,Detroit Drive-by,,3/11/2016,Four men were sitting on a porch when a black SUV with three passengers drove by and opened fire in broad daylight. Two of the men died and two were injured. The SUV got away and there are no suspects,2,2,4,Unknown,Unknown,Unknown,42.331427,-83.045754
37,"Pittsburgh, Pennsylvania","Pittsburgh, Pennsylvania",3/9/2016,"Two gunmen working as a team fatally shot five people including a pregnant woman and critically wounded two others at a backyard cookout, with one attacker using a high-velocity rifle to shoot all the victims in the head as they were driven his direction. Authorities later ruled the death of the woman’s 8-month-old fetus a homicide and raised the number of fatalities to six.",6,3,9,Unknown,Unknown,Male,40.440625,-79.995886
38,Wilkinsburg BBQ cookout shootout,,3/9/2016,"A family was having a cookout in the backyard of a house when two gunmen came and started shooting. There is one suspected target, but 5 people were killed, including one pregnant woman. The two gunmen fled the scene and have not been identified.",5,3,8,Unknown,Unknown,Male,40.441736,-79.881994
39,"Kansas City, Kansas","Kansas City, Kansas",3/7/2016,"Four people were found dead Monday night in a home in Kansas City, Kansas. A fifth man was shot to death Tuesday in Missouri. The shooter lives in a house next door to the home where four people were found shot Monday night. The shooter and the neighbors are all familiar with each other.",5,0,5,Unknown,Some other race,Male,39.114053,-94.627464
40,"Lafayette, LA drive by",,3/7/2016,"Four people shot with non-life-threatening injuries during a drive-by on MLK boulevard in Lafayette, LA. There were multiple shooters in the Ford f-150 truck, truck fled the scene. No leads. ",0,4,4,Unknown,Unknown,Unknown,30.22409,-92.019843
41,Kansas City Home Invasion,,3/7/2016,"Shooter killed four people at his next door neighbors house. He fled the scene, but was captured the next day, hiding in a ditch. It is seen as a random act.",4,0,4,Unknown,Some other race,Male,39.114053,-94.627464
42,"Chelsea, MA empty apartment party shooting","Chelsea, Massachusetts",3/6/2016,"Shooter fired upon party of ~50 people at an empty apartment in Chelsea, MA. 1 dead. 6 wounded. Shooters step brother was among those shot",1,6,7,Unknown,Some other race,Male,42.391764,-71.032828
43,"Roswell, GA Hookah shootout",,3/6/2016,"Altercation in a hookah bar led a group of seven people to leave in a mini-van. They were followed. When the car stopped, the shooter fired upon the car. Four of the seven sustained non-life-threatening injuries. ",0,4,4,Unknown,Black American or African American,Male,34.023243,-84.361556
44,Wichita Nightclub shooting,,3/5/2016,Altercation led to group of people getting kicked out of a club. Shooting took place around 1am outside the club. Four injured. ,0,4,4,Unknown,Unknown,Unknown,37.687176,-97.330053
45,Detroit Strip Club Shootout,,2/28/2016,"Man apparently inappropriately touched a stripper. He was asked to leave. He waited outside, then shot the stripper and four other people.",0,5,5,Unknown,Black American or African American,Male,42.331427,-83.045754
46,Riverside restaurant shooting,,2/28/2016,Shooter fired upon group of people in a restaurant parking lot,1,3,4,Unknown,Some other race,Male,33.997197,-117.48548
47,"Woodbridge, Virginia","Woodbridge,  Virginia",2/27/2016,"On Saturday of February 27th, three officers arrived to investigate a domestic dispute call, the shooter fired a rifle from the front door of his home, striking all three. Inside the house, police found his wife dead in a bedroom.",2,2,4,Unknown,Black American or African American,Male,38.6697,-77.3524
48,"Belfair, Washington","Belfair, Washington",2/26/2016,"At around 9am on Friday morning, a man phoned an officer with the Mason County Sheriff's Office to say that he had shot his family and was going to kill himself next. The man was flushed out of his house when the SWAT team fired tear gas inside. He walked outside and shot himself in front of the officers who were gathered in front of the property. The shooter killed his wife, her two teenage sons and a neighbor.",5,0,4,Unknown,White American or European American,Male,47.5033,-122.931
49,Excel Industries mass shooting,"Hesston, Kansas",2/25/2016,"Cedric L. Ford, who worked as a painter at a manufacturing company, shot victims from his car and at his workplace before being killed by police at the scene. Shortly before the rampage he had been served with a restraining order.",3,14,17,Unclear,Black,M,,
50,"Hesston, Kansas","Hesston, Kansas",2/25/2016,"On Friday, 90 minutes after receiving a court order over domestic violence, the man returned to the factory for the shooting spree.The man who wounded three people before storming into the central Kansas the lawn mower factory where he worked and shooting 14 others, killing three of them, had just been served a protection from abuse order that likely triggered the attack. Police say they believe the man fired at random while he was returning to his workplace.",4,14,17,Unknown,Black American or African American,Male,38.1368,-97.4268
51,"Belfair, WA Family murder-suicide",,2/25/2016,"Man killed wife, two kids, and neighbor before calling the cops to tell them he did something bad. They fired tear gas to get him outside. He came out and shot himself in the head.",5,0,4,Unknown,White American or European American,Male,47.451459,-122.826946
52,Arizona Family Murder,"Glendale, Arizona",2/23/2016,Son shot his parents and two sisters in their Phoenix home. Police arrive because the house was on fire. Police shot and killed the shooter.,5,0,4,Unknown,White American or European American,Male,33.448377,-112.074037
53,Missouri Highway shooting,,2/21/2016,"Car was fired upon from a stolen Mercedes on the interstate in Hazelwood, MO. One woman died. 3 Injured.",1,3,4,Unknown,Black American or African American,Male,38.77144,-90.370949
54,Houston Drive-by,,2/21/2016,"Group of people was fired upon by an unknown number of people in a dark SUV and a white Ford Truck. Five people, including a baby, were injured.",0,5,5,Unknown,Unknown,Unknown,29.760427,-95.369803
55,Kalamazoo shooting spree,"Kalamazoo County, Michigan",2/20/2016,"Jason B. Dalton, a driver for Uber, apparently selected his victims randomly as he went on a rampage over several hours in three different locations, including five people he shot in the parking lot of a Cracker Barrel restaurant. He was ""arrested without incident"" at a downtown Kalamazoo bar about six hours after the rampage began.",6,2,8,Unclear,White,M,,
56,"Iuka, Mississippi","Iuka, Mississippi",2/20/2016,"Law enforcement officers in northeastern Mississippi stormed a house Saturday after an hours-long standoff with a gunman holed up inside, leading to a shootout that left one officer dead and three others wounded.The standoff started Friday afternoon when authorities responded to a domestic dispute call at the home near Iuka. But the man, holed up in his home with his wife and 10-year-old daughter, refused to come out, sparking the standoff with officers outside. The man suspected of firing on the officers was also killed.",2,3,4,Unknown,White American or European American,Male,34.7404,-88.1383
57,Florida Hookah Bar Shooting,,2/20/2016,"Argument led to gun shots in the parking lot outside of a hookah bar in Tampa, Florida",1,3,4,Unknown,Unknown,Unknown,27.950575,-82.457178
58,Kalamazoo Uber Driver Spree Killing,,2/20/2016,An Uber driver fired upon people in three locations over the course of about 6 hours.,6,2,8,No,White American or European American,Male,42.291707,-85.587229
59,"Vallejo, CA car shooting",,2/19/2016,"Two suspects shot at a car and killed one person outright, and the second victim died in the hospital. Two others injured. No leads on suspects.",2,2,4,Unknown,Unknown,Unknown,38.104086,-122.256637
60,Michigan school shooting,,2/9/2016,"Shooter was a part of a fight outside of a high school gym. He fired at a crowd, injuring three. He fled the scene and was confronted by a police officer. When he wouldn't drop his weapon, the police officer shot and injured him.",0,3,3,Unknown,Black American or African American,Male,43.201126,-86.238946
61,"Orlando, Florida","Orlando, Florida",2/7/2016,Two people were killed and several others were hurt in a mass shooting inside an Orlando nightclub early Sunday morning.,2,10,12,Unknown,Some other race,Male,28.4541,-81.4646
62,Nightclub fight turns into shootout,,2/7/2016,"Two groups of people fired at each other after a fight broke out outside of the Mexican Village Nightclub in Rochester, NY",1,7,8,Unknown,Unknown,Unknown,43.16103,-77.610922
63,"Tampa, FL Strip club shooting",,2/6/2016,"Fighting broke out in a strip club when an unknown shooter starting firing. One person died on the scene, and one died later. Six were injured.",2,6,8,Unknown,Unknown,Unknown,27.950575,-82.457178
64,"Los Angeles, CA street shooting",,2/6/2016,"Police were called to a street to investigate an assault case. One hispanic man lay dead on the street. Two other adult males, and a young female were injured.",1,3,4,Unknown,Unknown,Unknown,34.052234,-118.243685
65,Texas teen commits family murder suicide,,2/6/2016,19-year-old male kills his mother and two neighbors before killing himself. Motive is unclear.,4,0,3,Unknown,White American or European American,Male,29.209684,-99.786168
66,New Orleans gas station shoot-out,,1/31/2016,"Altercation broke out at a gas station in New Orleans, when the shooter shot and injured 3 people. One of the victims returned fire and injured the instigator.",0,3,3,Unknown,Black American or African American,Male,29.951066,-90.071532
67,"Glendale, AZ House Party shooting",,1/30/2016,"Altercation broke out at a house party. A group of five hispanics were asked to leave. They got in a car, and as they drove away, opened fire on the house.",3,5,8,Unknown,Unknown,Male,33.538652,-112.185987
68,"Caroline County, VA Family Murder Suicide",,1/29/2016,"42-year-old husband murders wife, shoots two young family members, then shoots himself in the head.",2,2,3,Unknown,Unknown,Male,38.044556,-77.286488
69,"Chesapeake, Virginia","Chesapeake, Virginia",1/27/2016,"A Virginia man shot his brother dead in their family home, then killed four other relatives in a nearby house before turning the gun on himself Wednesday. He killed his brother in their house around 3:35 p.m. He then went to the house belonging to his grandmother and murdered more relatives ? father, mother, sister, and an unidentified female.",6,0,5,Yes,White American or European American,Male,36.7921,-76.3293
70,"Perris, CA Mexican restaurant shooting",,1/25/2016,Very little is known about the case. Cops were called to a Mexican restaurant. 1 person was pronounced dead at the scene. 4 others were taken to a hospital.,1,4,5,Unknown,Unknown,Male,33.782519,-117.228648
71,Florida family murder,,1/23/2016,"A young man shot his mother, step-father, and his ex-girlfriend's boyfriend",3,0,3,Unknown,White American or European American,Male,30.754181,-86.572799
72,Los Angeles Drive-by,,1/23/2016,"Group of people was standing outside of a Liquor store on Avalon boulevard in South Los Angeles. A car drove by and fired an AK-47, killing 1 and wounding 3.",2,2,4,Unknown,Unknown,Unknown,34.052234,-118.243685
73,"Gloucester County, VA, House Party",,1/17/2016,"A young woman threw a house party for her birthday. It got very crowded. The shooter came and shot four people, killing one. There is some disagreement about his relation to the rest of the people at the party",1,3,4,Unknown,Black American or African American,Male,37.40264,-76.458559
74,"Wilmington, DE robbery",,1/11/2016,"Two men forcefully entered a house, and started shooting the people inside. One of the robbers was killed. Four other people injured.",1,4,5,Unknown,Black American or African American,Male,39.739072,-75.539788
75,"Roadside in Memphis, Tennessee",,1/7/2016,A woman flagged down a car to help her with her car troubles at the side of the road. An 18-year-old got out to help. The two suspects got out of another car and fired on the scene.,1,3,4,Unknown,Unknown,Unknown,35.149534,-90.04898
76,"Residence in Lakeland, Florida",,1/6/2016,Two men arrived at the house of a drug dealer and killed three people and critically injured one more.,3,1,4,Unknown,Black American or African American,Male,28.039465,-81.949804
77,"Omaha, Nebraska","Omaha, Nebraska",12/6/2015,A woman and her two year old daughter were shot and killed Sunday. Three other women are still fighting for their lives following the shooting.  The suspect turned himself into police on Tuesday morning.,2,3,5,Unknown,Black American or African American,Male,41.3138,-96.0814
78,San Bernardino mass shooting,"San Bernardino, California",12/2/2015,"Syed Rizwan Farook left a Christmas party held at Inland Regional Center, later returning with Tashfeen Malik and the two opened fire, killing 14 and wounding 21, ten critically. The two were later killed by police as they fled in an SUV.",14,21,35,Unclear,Other,M/F,,
79,"San Bernardino, California","San Bernardino, California",12/2/2015,"On Wednesday of December 2, 2015, two gunmen entered a conference room on the Inland Regional Center property, killing 14 people, and injuring 21 people. The facility was rented by the San Bernardino County Department of Public Health for a holiday party. The shooter was at the party but left abruptly before the shooting. He seemed angry, witnesses told police. He returned and along with his wife, he went into the building and began firing. The man was an inspector with the county health department that hosted the party. ",16,21,35,Unknown,Asian American,Male/Female,34.13973446,-117.2942444
80,Planned Parenthood clinic,"Colorado Springs, Colorado",11/27/2015,"Robert Lewis Dear, 57, shot and killed a police officer and two citizens when he opened fire at a Planned Parenthood health clinic in Colorado Springs, Colorado. Nine others were wounded. Dear was arrested after an hours-long standoff with police.",3,9,12,Unclear,White,M,,
81,"Columbus, Ohio","Columbus, Ohio",11/23/2015,"On Monday of November 23, 2015, three of four members of a family were shot and killed and a 12-year-old girl wounded at their home. The suspect died after being shot by police. The shooter was a once friendly neighbor of the victims.",4,1,4,Unknown,White American or European American,Male,39.98861445,-82.98904135
82,"Minneapolis, Minnesota","Minneapolis, Minnesota",11/23/2015,"Five protesters were shot late Monday night near the Black Lives Matter encampment. A group of white supremacists showed up at the protest, and when about a dozen protesters attempted to herd the group away from the area, they opened fire on the protesters. Protesters have been camping out in front of the 4th Precinct since Nov. 15",0,5,5,Unknown,White American or European American,Male,44.96358722,-93.26783687
83,"Tennessee Colony, Texas","Tennessee Colony, Texas",11/15/2015,"On Sunday of November 15, 2015, six people are dead after a weekend homicide at a private campsite. The bodies of a man and woman were found in a travel trailer. The bodies of four males, who were initially considered missing, were later recovered about 1:15 p.m. Monday in a pond on the suspect's residence. ",6,0,6,Unknown,White American or European American,Male,31.8076,-95.8069
84,"Jacksonville, Florida","Jacksonville, Florida",11/13/2015,"On Friday of November 13, 2015,The former military member walked into his Northside, Florida, home and shot his girlfriend, their twin babies, and girlfriend's father before shooting himself. The shooter had a history of domestic violence.",4,1,4,Unknown,Black American or African American,Male,30.33216122,-81.67576993
85,"Waycross, GA","Waycross, Georgia",11/7/2015,"On Saturday of November 7, 2015,a pregnant mother of two was killed in a violent rampage early Saturday along with her unborn child. Both of her toddlers were also shot. The shooter is the father of one of the small children.",1,2,3,Yes,Black American or African American,Male,31.21094544,-82.35793452
86,"Oakland, Maine","Oakland, Maine",11/4/2015,"A gunman shot his girlfriend,  his girlfriend's sister and her boyfriend to death in a Central Maine apartment building, leaving a young girl unharmed on the first floor before turning the weapon on himself. They all shared the brown clapboard home, which was divided into two apartments. The gunman and his girlfriend lived in the upstairs room of the apartment while the two other victims (his girlfriend's sister and her boyfriend) lived in the downstairs with their 3 year old daughter. All three victims were found on first floor.",4,0,3,Unknown,Unknown,Male,44.54994725,-69.70782299
87,Colorado Springs,"Colorado Springs, Colorado",10/31/2015,"In the morning of October 31, 2015, three victims were shot and killed on the streets and sidewalks of the neighborhood.The gunman died in a shootout with police. A witness described he was walking in the street with two guns, walking calmly. The shooter killed a bicyclist and two women at a nearby location.",4,0,3,Unknown,White American or European American,Male,38.86730659,-104.7572279
88,"Colerain Township, Ohio","Colerain Township, Ohio",10/21/2015,"A man killed his two teenage sisters and injured another teen in Colerain Township, Ohio, in the early hours of Tuesday, Oct. 21, 2015.",2,1,3,Unknown,White American or European American,Male,39.253268,-84.599655
89,Northern Arizona University at Flagstaff Campus,"Flagstaff, Arizona",10/9/2015,"On Friday of October 9, 2015, one person is dead and three are wounded after an early morning shooting on Northern Arizona University's campus. An overnight confrontation between two groups of students escalated into gunfire. The shooter is a freshman of Northern Arizona University.",1,3,4,Unknown,White American or European American,Male,35.1725658,-111.6585435
90,Umpqua Community College,"Roseburg, Oregon",10/1/2015,"On Monday of October 1, 2015, a gunman opened fire at a rural Oregon community college Thursday. 9 people were dead and seven wounded, three critically, before dying in a shootout with police. First, a shot came through the window and hit the teacher in the head  in a freshman writing class. The gunman then entered the Snyder Hall classroom and told people to get on the floor. He told people to stand up and state their religion before opening fire.",10,7,16,Unknown,Two or more races,Male,43.22205555,-123.3522367
91,"Inglis, Florida","Inglis, Florida",10/1/2015,"A man 57-year-old man shot and killed his wife, injured her boyfriend, and killed a Good Samaritan 68-year-old man as he rushed to protect children who were playing near the town hall before taking his life. The shooter's couple had been married for 35 years when they separated, and the shooter's wife had left her husband for her new boyfriend.",3,1,3,Unknown,White American or European American,Male,29.03270634,-82.65919302
92,Hill Haven Event Center (Formerly Club CJ's),"Greenville, Georgia",9/27/2015,A shooting at a club in Meriwether Co. early Sunday injured 10 people after witnesses say gun fire was exchanged that stemmed from alleged illegal gambling.,0,10,10,Unknown,Black American or African American,Male,33.02912644,-84.7143335
93,"Platte, South Dakota","Platte, South Dakota",9/17/2015,"The six members of a South Dakota family found dead in the ruins of their burned home were fatally shot, with one death believed to be a suicide. All six members of the shooter's family died of shotgun wounds.",6,0,5,Unknown,White American or European American,Male,43.38682722,-98.84357239
94,"Clearbrook (Greenwood), Minnesota","Clearbrook (Greenwood), Minnesota",9/10/2015,"Five family members - two adults and three children - were found dead in a home on Thursday, September 10 in an apparent murder-suicide. The shooter, a nurse, founded the website AllNurses.com, which provides information and resources for and about the nursing profession.",5,0,4,Yes,White American or European American,Male,47.69618799,-95.42844094
95,"Bristol, Tennessee","Bristol, Tennessee",8/29/2015,"The shooter shot and killed his mother, stepfather, and grandmother in a matter of seconds on Saturday night.",3,1,4,Unknown,White American or European American,Male,36.55605824,-82.21429551
96,Virginia WDBJ live TV interview shooting,"Roanoke, Virginia",8/26/2015,"Wednesday morning on August 26, 2015, a former employee of a Virginia TV news station waited until two of his former colleagues were live on air presenting a local tourism story at an outdoor shopping mall, then filmed himself raising a gun and shooting them both dead. A third victim survived the attack. He uploaded the videos to Twitter before committing suicide.",3,1,3,Unknown,Black American or African American,Male,37.27823366,-79.95816104
97,Parking lot near Boys and Girls Club,"Rochester, New York",8/19/2015,"Around 11:20 p.m. Wednesday on Genesee Street, a gunman shot into a crowd that gathered outside the Rochester Boys and Girls Club after a basketball game, killing three people and wounding four others. 
Drive-by, Gang involvement",3,4,7,Unknown,Black American or African American,Male,43.1696837,-77.614337
98,"Houston, Texas","Houston, Texas",8/8/2015,A family of six children and two parents were handcuffed and fatally shot in the head at a Houston home by a man with a violent criminal history who had previously been in a relationship with the mother and had a dispute with her.,8,0,8,Unknown,Black American or African American,Male,29.79705548,-95.36763856
99,"Grand 16 Theatre, Louisiana","Lafayette, Louisiana",7/23/2015,"On July 23, 2015, a shooting occurred at The Grand 16 Theater movie theater in Lafayette, Louisiana. The shooter opened fire during a showing of the film Trainwreck, killing two people and injuring nine others before he committed suicide.",3,9,11,Yes,White American or European American,Male,30.21233538,-92.0316453
100,Suwanee,"Suwanee, Georgia",7/22/2015,A gunman killed his wife and her two young children inside a suburban Georgia home early Wednesday before fatally shooting himself.,4,1,4,Unknown,White American or European American,Male,34.05057545,-84.06872262
101,"Amnicola Training Center, Chattanooga","Chattanooga, Tennessee",7/16/2015,"Four Marines were shot dead Thursday after a gunman brazenly opened fire on two  military facilities in Chattanooga, Tennessee. The shooter was also killed and three people including a police officer were injured.",5,3,7,Yes,White American or European American,Male,35.09318123,-85.23676751
102,River Forest,"River Forest, Illinois",7/12/2015,Two people including the shooter are dead and three others were wounded following what began as a domestic violence incident in River Forest on Sunday morning. Two police officers were among those wounded by gunfire in the incident.,2,3,4,Unknown,Unknown,Male,41.89499946,-87.81941392
103,Boom Boom Room,"Morven, North Carolina",6/20/2015,"Two men were arguing in a club called the Boom Boom Room Saturday morning around 2:45. When they started shooting at each other, four bystanders were caught in the crossfire. One of shooters was arrested later, and the other turned himself in on Tuesday, June 23, 2015.",0,4,4,Unknown,Black American or African American/Unknown,Male,34.86379864,-79.9996781
104,Charleston Church Shooting,"Charleston, South Carolina",6/17/2015,"Dylann Storm Roof, 21, shot and killed 9 people after opening fire at the Emanuel AME Church in Charleston, South Carolina. According to a roommate, he had allegedly been â€œplanning something like that for six months.""",9,1,10,unknown,White,Male,32.788387,-79.933143
105,Miami Gardens,"Miami Gardens, Florida",6/16/2015,"The shooter opened fire when fight broke out during birthday party around 5:30 p.m. The man pulled out a gun and opened fire, hitting four people.",0,4,4,Unknown,Black American or African American,Male,25.94326707,-80.24253243
106,Trestle Trail bridge shooting,"Menasha, Wisconsin",6/11/2015,"Sergio Valencia del Toro, 27, in what officials say was a random act, shot and killed three people including an 11-year-old girl before turning the gun on himself.",3,1,4,Yes,Latino,M,,
107,Deer Lodge,"Deer Lodge, Montana",6/7/2015,"The man shot and killed his wife and three children, set a fire in the family's remote cabin and then killed himself.",5,0,4,Unknown,White American or European American,Male,46.39761858,-112.7329333
